n,alg,time
1000,b1,0.008000
1000,b2,2.005000
1000,b1,0.004000
1000,b2,1.992000
1000,b1,0.004000
1000,b2,2.248000
1000,b1,0.004000
1000,b2,2.143000
1000,b1,0.004000
1000,b2,2.038000
1000,b1,0.003000
1000,b2,1.895000
1000,b1,0.003000
1000,b2,1.829000
1000,b1,0.003000
1000,b2,1.873000
1000,b1,0.004000
1000,b2,1.856000
1000,b1,0.003000
1000,b2,1.867000
1100,b1,0.007000
1100,b2,1.924000
1100,b1,0.003000
1100,b2,2.224000
1100,b1,0.004000
1100,b2,1.893000
1100,b1,0.002000
1100,b2,1.535000
1100,b1,0.003000
1100,b2,1.554000
1100,b1,0.003000
1100,b2,1.485000
1100,b1,0.003000
1100,b2,1.497000
1100,b1,0.003000
1100,b2,1.414000
1100,b1,0.002000
1100,b2,1.322000
1100,b1,0.002000
1100,b2,1.584000
1200,b1,0.009000
1200,b2,1.569000
1200,b1,0.003000
1200,b2,1.762000
1200,b1,0.004000
1200,b2,1.681000
1200,b1,0.002000
1200,b2,1.595000
1200,b1,0.003000
1200,b2,1.725000
1200,b1,0.003000
1200,b2,1.531000
1200,b1,0.002000
1200,b2,1.530000
1200,b1,0.002000
1200,b2,1.492000
1200,b1,0.002000
1200,b2,1.541000
1200,b1,0.003000
1200,b2,1.584000
1300,b1,0.011000
1300,b2,1.970000
1300,b1,0.002000
1300,b2,1.834000
1300,b1,0.003000
1300,b2,1.756000
1300,b1,0.002000
1300,b2,1.794000
1300,b1,0.002000
1300,b2,1.798000
1300,b1,0.002000
1300,b2,1.796000
1300,b1,0.003000
1300,b2,1.849000
1300,b1,0.003000
1300,b2,1.799000
1300,b1,0.002000
1300,b2,1.789000
1300,b1,0.003000
1300,b2,1.811000
1400,b1,0.010000
1400,b2,2.139000
1400,b1,0.003000
1400,b2,2.026000
1400,b1,0.003000
1400,b2,2.111000
1400,b1,0.003000
1400,b2,2.070000
1400,b1,0.003000
1400,b2,2.016000
1400,b1,0.002000
1400,b2,2.013000
1400,b1,0.002000
1400,b2,2.053000
1400,b1,0.002000
1400,b2,1.999000
1400,b1,0.002000
1400,b2,2.026000
1400,b1,0.002000
1400,b2,1.985000
1500,b1,0.011000
1500,b2,3.111000
1500,b1,0.009000
1500,b2,3.649000
1500,b1,0.003000
1500,b2,2.468000
1500,b1,0.003000
1500,b2,2.401000
1500,b1,0.002000
1500,b2,2.379000
1500,b1,0.003000
1500,b2,2.425000
1500,b1,0.002000
1500,b2,2.401000
1500,b1,0.003000
1500,b2,2.355000
1500,b1,0.003000
1500,b2,2.463000
1500,b1,0.002000
1500,b2,2.425000
1600,b1,0.011000
1600,b2,2.692000
1600,b1,0.003000
1600,b2,2.606000
1600,b1,0.003000
1600,b2,2.580000
1600,b1,0.003000
1600,b2,2.673000
1600,b1,0.002000
1600,b2,2.569000
1600,b1,0.002000
1600,b2,2.573000
1600,b1,0.003000
1600,b2,2.634000
1600,b1,0.003000
1600,b2,2.631000
1600,b1,0.004000
1600,b2,2.614000
1600,b1,0.003000
1600,b2,2.652000
1700,b1,0.007000
1700,b2,3.032000
1700,b1,0.003000
1700,b2,3.001000
1700,b1,0.003000
1700,b2,2.923000
1700,b1,0.003000
1700,b2,2.906000
1700,b1,0.002000
1700,b2,2.934000
1700,b1,0.002000
1700,b2,3.001000
1700,b1,0.003000
1700,b2,2.991000
1700,b1,0.003000
1700,b2,2.975000
1700,b1,0.002000
1700,b2,2.977000
1700,b1,0.002000
1700,b2,2.949000
1800,b1,0.011000
1800,b2,3.461000
1800,b1,0.003000
1800,b2,3.403000
1800,b1,0.003000
1800,b2,3.340000
1800,b1,0.003000
1800,b2,3.342000
1800,b1,0.003000
1800,b2,3.308000
1800,b1,0.002000
1800,b2,3.306000
1800,b1,0.003000
1800,b2,3.265000
1800,b1,0.003000
1800,b2,3.278000
1800,b1,0.003000
1800,b2,3.269000
1800,b1,0.003000
1800,b2,3.516000
1900,b1,0.010000
1900,b2,3.685000
1900,b1,0.003000
1900,b2,3.689000
1900,b1,0.003000
1900,b2,3.644000
1900,b1,0.003000
1900,b2,3.621000
1900,b1,0.003000
1900,b2,3.695000
1900,b1,0.002000
1900,b2,3.740000
1900,b1,0.003000
1900,b2,3.662000
1900,b1,0.003000
1900,b2,3.752000
1900,b1,0.003000
1900,b2,3.624000
1900,b1,0.002000
1900,b2,3.663000
2000,b1,0.006000
2000,b2,4.065000
2000,b1,0.003000
2000,b2,4.173000
2000,b1,0.003000
2000,b2,4.114000
2000,b1,0.003000
2000,b2,4.064000
2000,b1,0.003000
2000,b2,4.046000
2000,b1,0.003000
2000,b2,4.115000
2000,b1,0.003000
2000,b2,4.748000
2000,b1,0.004000
2000,b2,5.005000
2000,b1,0.003000
2000,b2,4.183000
2000,b1,0.003000
2000,b2,4.035000
1000,b1,0.004000
1000,b2,1.087000
1000,b1,0.002000
1000,b2,1.038000
1000,b1,0.002000
1000,b2,1.121000
1000,b1,0.002000
1000,b2,1.212000
1000,b1,0.002000
1000,b2,1.181000
1000,b1,0.002000
1000,b2,1.143000
1000,b1,0.003000
1000,b2,1.106000
1000,b1,0.002000
1000,b2,1.457000
1000,b1,0.003000
1000,b2,1.178000
1000,b1,0.002000
1000,b2,1.175000
1100,b1,0.008000
1100,b2,1.468000
1100,b1,0.002000
1100,b2,1.409000
1100,b1,0.002000
1100,b2,1.393000
1100,b1,0.002000
1100,b2,1.253000
1100,b1,0.002000
1100,b2,1.307000
1100,b1,0.002000
1100,b2,1.309000
1100,b1,0.003000
1100,b2,1.266000
1100,b1,0.002000
1100,b2,1.286000
1100,b1,0.002000
1100,b2,1.298000
1100,b1,0.002000
1100,b2,1.396000
1200,b1,0.007000
1200,b2,1.816000
1200,b1,0.003000
1200,b2,1.821000
1200,b1,0.003000
1200,b2,1.556000
1200,b1,0.002000
1200,b2,1.576000
1200,b1,0.002000
1200,b2,1.622000
1200,b1,0.002000
1200,b2,1.774000
1200,b1,0.003000
1200,b2,1.662000
1200,b1,0.003000
1200,b2,1.695000
1200,b1,0.003000
1200,b2,1.518000
1200,b1,0.002000
1200,b2,1.539000
1300,b1,0.005000
1300,b2,1.825000
1300,b1,0.003000
1300,b2,1.877000
1300,b1,0.002000
1300,b2,1.862000
1300,b1,0.003000
1300,b2,1.706000
1300,b1,0.002000
1300,b2,1.726000
1300,b1,0.003000
1300,b2,1.746000
1300,b1,0.002000
1300,b2,1.689000
1300,b1,0.002000
1300,b2,1.802000
1300,b1,0.002000
1300,b2,1.837000
1300,b1,0.003000
1300,b2,1.904000
1400,b1,0.006000
1400,b2,2.185000
1400,b1,0.002000
1400,b2,2.086000
1400,b1,0.002000
1400,b2,2.069000
1400,b1,0.002000
1400,b2,2.079000
1400,b1,0.003000
1400,b2,2.061000
1400,b1,0.002000
1400,b2,2.196000
1400,b1,0.003000
1400,b2,2.548000
1400,b1,0.003000
1400,b2,2.386000
1400,b1,0.002000
1400,b2,2.055000
1400,b1,0.002000
1400,b2,1.994000
1500,b1,0.009000
1500,b2,2.371000
1500,b1,0.002000
1500,b2,2.408000
1500,b1,0.002000
1500,b2,2.366000
1500,b1,0.003000
1500,b2,2.445000
1500,b1,0.002000
1500,b2,2.417000
1500,b1,0.002000
1500,b2,2.324000
1500,b1,0.002000
1500,b2,2.440000
1500,b1,0.002000
1500,b2,2.334000
1500,b1,0.002000
1500,b2,2.323000
1500,b1,0.002000
1500,b2,2.361000
1600,b1,0.010000
1600,b2,2.894000
1600,b1,0.002000
1600,b2,2.673000
1600,b1,0.003000
1600,b2,2.739000
1600,b1,0.003000
1600,b2,2.693000
1600,b1,0.003000
1600,b2,2.763000
1600,b1,0.003000
1600,b2,3.069000
1600,b1,0.003000
1600,b2,2.828000
1600,b1,0.002000
1600,b2,2.853000
1600,b1,0.004000
1600,b2,3.156000
1600,b1,0.003000
1600,b2,3.491000
1700,b1,0.006000
1700,b2,3.064000
1700,b1,0.003000
1700,b2,3.146000
1700,b1,0.003000
1700,b2,3.467000
1700,b1,0.003000
1700,b2,3.326000
1700,b1,0.003000
1700,b2,3.838000
1700,b1,0.003000
1700,b2,3.031000
1700,b1,0.003000
1700,b2,3.392000
1700,b1,0.003000
1700,b2,3.276000
1700,b1,0.003000
1700,b2,3.477000
1700,b1,0.005000
1700,b2,3.930000
1800,b1,0.013000
1800,b2,4.031000
1800,b1,0.003000
1800,b2,3.511000
1800,b1,0.003000
1800,b2,3.521000
1800,b1,0.003000
1800,b2,3.545000
1800,b1,0.004000
1800,b2,3.445000
1800,b1,0.003000
1800,b2,3.409000
1800,b1,0.003000
1800,b2,3.408000
1800,b1,0.003000
1800,b2,3.429000
1800,b1,0.003000
1800,b2,3.370000
1800,b1,0.003000
1800,b2,3.285000
1900,b1,0.010000
1900,b2,3.680000
1900,b1,0.004000
1900,b2,3.656000
1900,b1,0.003000
1900,b2,3.754000
1900,b1,0.003000
1900,b2,3.871000
1900,b1,0.003000
1900,b2,3.741000
1900,b1,0.003000
1900,b2,3.674000
1900,b1,0.003000
1900,b2,3.651000
1900,b1,0.003000
1900,b2,3.640000
1900,b1,0.003000
1900,b2,3.666000
1900,b1,0.003000
1900,b2,4.280000
2000,b1,0.006000
2000,b2,4.474000
2000,b1,0.005000
2000,b2,4.512000
2000,b1,0.004000
2000,b2,4.291000
2000,b1,0.003000
2000,b2,4.042000
2000,b1,0.003000
2000,b2,4.138000
2000,b1,0.003000
2000,b2,4.177000
2000,b1,0.004000
2000,b2,5.251000
2000,b1,0.005000
2000,b2,4.479000
2000,b1,0.003000
2000,b2,4.112000
2000,b1,0.003000
2000,b2,4.132000
1000,b1,0.004000
1000,b2,1.044000
1000,b1,0.002000
1000,b2,1.043000
1000,b1,0.002000
1000,b2,1.102000
1000,b1,0.003000
1000,b2,1.204000
1000,b1,0.002000
1000,b2,1.129000
1000,b1,0.003000
1000,b2,1.134000
1000,b1,0.002000
1000,b2,1.137000
1000,b1,0.002000
1000,b2,1.362000
1000,b1,0.002000
1000,b2,1.117000
1000,b1,0.002000
1000,b2,1.114000
1100,b1,0.005000
1100,b2,1.367000
1100,b1,0.003000
1100,b2,1.300000
1100,b1,0.003000
1100,b2,1.312000
1100,b1,0.002000
1100,b2,1.299000
1100,b1,0.002000
1100,b2,1.302000
1100,b1,0.003000
1100,b2,1.503000
1100,b1,0.002000
1100,b2,1.421000
1100,b1,0.003000
1100,b2,1.406000
1100,b1,0.002000
1100,b2,1.404000
1100,b1,0.002000
1100,b2,1.358000
1200,b1,0.007000
1200,b2,1.781000
1200,b1,0.003000
1200,b2,1.562000
1200,b1,0.002000
1200,b2,1.797000
1200,b1,0.003000
1200,b2,1.908000
1200,b1,0.002000
1200,b2,2.122000
1200,b1,0.003000
1200,b2,1.638000
1200,b1,0.003000
1200,b2,1.824000
1200,b1,0.002000
1200,b2,1.582000
1200,b1,0.002000
1200,b2,1.493000
1200,b1,0.002000
1200,b2,1.539000
1300,b1,0.006000
1300,b2,2.209000
1300,b1,0.003000
1300,b2,1.824000
1300,b1,0.002000
1300,b2,1.752000
1300,b1,0.003000
1300,b2,1.798000
1300,b1,0.002000
1300,b2,2.032000
1300,b1,0.002000
1300,b2,1.805000
1300,b1,0.002000
1300,b2,1.844000
1300,b1,0.002000
1300,b2,1.756000
1300,b1,0.003000
1300,b2,1.805000
1300,b1,0.003000
1300,b2,1.771000
