alg,x,y 
Gen_points,0.000000,-12.161152 
Gen_points,4.000000,-13.669365 
Gen_points,8.000000,-23.301186 
Gen_points,12.000000,-22.842599 
Gen_points,16.000000,-16.726500 
Gen_points,20.000000,-9.070016 
Gen_points,24.000000,-9.618185 
Gen_points,28.000000,-17.665076 
Gen_points,32.000000,-16.292706 
Gen_points,36.000000,-17.829431 
Gen_points,40.000000,-20.934870 
Gen_points,44.000000,-29.401962 
Gen_points,48.000000,-28.017515 
Gen_points,52.000000,-20.789362 
Gen_points,56.000000,-22.329130 
Gen_points,60.000000,-19.158694 
Gen_points,64.000000,-13.758860 
Gen_points,68.000000,-7.723453 
Gen_points,72.000000,-1.252617 
Gen_points,76.000000,6.217821 
Newton,0.000000, -12.161152 
Newton,1.000000, -4351.226266 
Newton,2.000000, -2974.797215 
Newton,3.000000, -1089.814603 
Newton,4.000000, -13.669365 
Newton,5.000000, 315.075086 
Newton,6.000000, 257.356761 
Newton,7.000000, 97.932249 
Newton,8.000000, -23.301186 
Newton,9.000000, -73.260107 
Newton,10.000000, -70.699462 
Newton,11.000000, -46.304111 
Newton,12.000000, -22.842599 
Newton,13.000000, -10.206711 
Newton,14.000000, -8.293747 
Newton,15.000000, -12.222757 
Newton,16.000000, -16.726500 
Newton,17.000000, -18.555607 
Newton,18.000000, -16.999905 
Newton,19.000000, -13.208301 
Newton,20.000000, -9.070016 
Newton,21.000000, -6.229197 
Newton,22.000000, -5.524381 
Newton,23.000000, -6.893111 
Newton,24.000000, -9.618185 
Newton,25.000000, -12.726369 
Newton,26.000000, -15.364059 
Newton,27.000000, -17.035518 
Newton,28.000000, -17.665076 
Newton,29.000000, -17.509640 
Newton,30.000000, -16.987244 
Newton,31.000000, -16.497221 
Newton,32.000000, -16.292706 
Newton,33.000000, -16.436401 
Newton,34.000000, -16.837512 
Newton,35.000000, -17.341304 
Newton,36.000000, -17.829431 
Newton,37.000000, -18.290811 
Newton,38.000000, -18.837098 
Newton,39.000000, -19.658184 
Newton,40.000000, -20.934870 
Newton,41.000000, -22.741211 
Newton,42.000000, -24.973802 
Newton,43.000000, -27.337797 
Newton,44.000000, -29.401962 
Newton,45.000000, -30.712290 
Newton,46.000000, -30.932453 
Newton,47.000000, -29.966267 
Newton,48.000000, -28.017515 
Newton,49.000000, -25.557539 
Newton,50.000000, -23.198455 
Newton,51.000000, -21.502849 
Newton,52.000000, -20.789362 
Newton,53.000000, -21.006838 
Newton,54.000000, -21.738902 
Newton,55.000000, -22.363067 
