n,alg,time 
5,Lagrange,0.000004
5,Newton,0.000003
5,GSL_Polym_Interpol,0.000036
5,Akima,0.000019
5,Spline,0.000027
5,Lagrange,0.000005
5,Newton,0.000003
5,GSL_Polym_Interpol,0.000003
5,Akima,0.000003
5,Spline,0.000005
5,Lagrange,0.000005
5,Newton,0.000003
5,GSL_Polym_Interpol,0.000003
5,Akima,0.000003
5,Spline,0.000005
5,Lagrange,0.000004
5,Newton,0.000002
5,GSL_Polym_Interpol,0.000003
5,Akima,0.000004
5,Spline,0.000006
5,Lagrange,0.000004
5,Newton,0.000003
5,GSL_Polym_Interpol,0.000003
5,Akima,0.000003
5,Spline,0.000005
5,Lagrange,0.000005
5,Newton,0.000003
5,GSL_Polym_Interpol,0.000003
5,Akima,0.000002
5,Spline,0.000005
5,Lagrange,0.000004
5,Newton,0.000002
5,GSL_Polym_Interpol,0.000003
5,Akima,0.000002
5,Spline,0.000005
5,Lagrange,0.000005
5,Newton,0.000002
5,GSL_Polym_Interpol,0.000003
5,Akima,0.000003
5,Spline,0.000005
5,Lagrange,0.000004
5,Newton,0.000003
5,GSL_Polym_Interpol,0.000003
5,Akima,0.000003
5,Spline,0.000006
5,Lagrange,0.000004
5,Newton,0.000003
5,GSL_Polym_Interpol,0.000003
5,Akima,0.000003
5,Spline,0.000006
10,Lagrange,0.000015
10,Newton,0.000009
10,GSL_Polym_Interpol,0.000006
10,Akima,0.000005
10,Spline,0.000008
10,Lagrange,0.000015
10,Newton,0.000009
10,GSL_Polym_Interpol,0.000005
10,Akima,0.000004
10,Spline,0.000008
10,Lagrange,0.000014
10,Newton,0.000008
10,GSL_Polym_Interpol,0.000005
10,Akima,0.000004
10,Spline,0.000008
10,Lagrange,0.000014
10,Newton,0.000009
10,GSL_Polym_Interpol,0.000004
10,Akima,0.000005
10,Spline,0.000007
10,Lagrange,0.000014
10,Newton,0.000008
10,GSL_Polym_Interpol,0.000005
10,Akima,0.000005
10,Spline,0.000008
10,Lagrange,0.000013
10,Newton,0.000008
10,GSL_Polym_Interpol,0.000005
10,Akima,0.000004
10,Spline,0.000007
10,Lagrange,0.000014
10,Newton,0.000007
10,GSL_Polym_Interpol,0.000006
10,Akima,0.000004
10,Spline,0.000007
10,Lagrange,0.000013
10,Newton,0.000008
10,GSL_Polym_Interpol,0.000005
10,Akima,0.000004
10,Spline,0.000008
10,Lagrange,0.000013
10,Newton,0.000009
10,GSL_Polym_Interpol,0.000006
10,Akima,0.000004
10,Spline,0.000008
10,Lagrange,0.000014
10,Newton,0.000009
10,GSL_Polym_Interpol,0.000005
10,Akima,0.000004
10,Spline,0.000007
15,Lagrange,0.000037
15,Newton,0.000008
15,GSL_Polym_Interpol,0.000005
15,Akima,0.000004
15,Spline,0.000005
15,Lagrange,0.000013
15,Newton,0.000008
15,GSL_Polym_Interpol,0.000004
15,Akima,0.000003
15,Spline,0.000005
15,Lagrange,0.000014
15,Newton,0.000008
15,GSL_Polym_Interpol,0.000004
15,Akima,0.000004
15,Spline,0.000004
15,Lagrange,0.000013
15,Newton,0.000007
15,GSL_Polym_Interpol,0.000004
15,Akima,0.000004
15,Spline,0.000005
15,Lagrange,0.000015
15,Newton,0.000008
15,GSL_Polym_Interpol,0.000004
15,Akima,0.000003
15,Spline,0.000004
15,Lagrange,0.000013
15,Newton,0.000008
15,GSL_Polym_Interpol,0.000005
15,Akima,0.000003
15,Spline,0.000004
15,Lagrange,0.000014
15,Newton,0.000008
15,GSL_Polym_Interpol,0.000004
15,Akima,0.000002
15,Spline,0.000004
15,Lagrange,0.000014
15,Newton,0.000008
15,GSL_Polym_Interpol,0.000004
15,Akima,0.000003
15,Spline,0.000004
15,Lagrange,0.000015
15,Newton,0.000008
15,GSL_Polym_Interpol,0.000004
15,Akima,0.000003
15,Spline,0.000005
15,Lagrange,0.000015
15,Newton,0.000008
15,GSL_Polym_Interpol,0.000004
15,Akima,0.000003
15,Spline,0.000004
20,Lagrange,0.000024
20,Newton,0.000014
20,GSL_Polym_Interpol,0.000016
20,Akima,0.000004
20,Spline,0.000006
20,Lagrange,0.000027
20,Newton,0.000015
20,GSL_Polym_Interpol,0.000007
20,Akima,0.000004
20,Spline,0.000006
20,Lagrange,0.000025
20,Newton,0.000015
20,GSL_Polym_Interpol,0.000007
20,Akima,0.000004
20,Spline,0.000007
20,Lagrange,0.000025
20,Newton,0.000014
20,GSL_Polym_Interpol,0.000007
20,Akima,0.000003
20,Spline,0.000005
20,Lagrange,0.000026
20,Newton,0.000014
20,GSL_Polym_Interpol,0.000007
20,Akima,0.000003
20,Spline,0.000006
20,Lagrange,0.000028
20,Newton,0.000013
20,GSL_Polym_Interpol,0.000007
20,Akima,0.000003
20,Spline,0.000006
20,Lagrange,0.000024
20,Newton,0.000015
20,GSL_Polym_Interpol,0.000007
20,Akima,0.000004
20,Spline,0.000007
20,Lagrange,0.000025
20,Newton,0.000015
20,GSL_Polym_Interpol,0.000007
20,Akima,0.000004
20,Spline,0.000005
20,Lagrange,0.000026
20,Newton,0.000014
20,GSL_Polym_Interpol,0.000007
20,Akima,0.000004
20,Spline,0.000006
20,Lagrange,0.000026
20,Newton,0.000014
20,GSL_Polym_Interpol,0.000007
20,Akima,0.000003
20,Spline,0.000006
25,Lagrange,0.000040
25,Newton,0.000023
25,GSL_Polym_Interpol,0.000010
25,Akima,0.000005
25,Spline,0.000008
25,Lagrange,0.000043
25,Newton,0.000022
25,GSL_Polym_Interpol,0.000010
25,Akima,0.000004
25,Spline,0.000007
25,Lagrange,0.000041
25,Newton,0.000023
25,GSL_Polym_Interpol,0.000010
25,Akima,0.000004
25,Spline,0.000007
25,Lagrange,0.000037
25,Newton,0.000022
25,GSL_Polym_Interpol,0.000009
25,Akima,0.000004
25,Spline,0.000007
25,Lagrange,0.000039
25,Newton,0.000022
25,GSL_Polym_Interpol,0.000010
25,Akima,0.000004
25,Spline,0.000007
25,Lagrange,0.000039
25,Newton,0.000022
25,GSL_Polym_Interpol,0.000010
25,Akima,0.000005
25,Spline,0.000007
25,Lagrange,0.000040
25,Newton,0.000020
25,GSL_Polym_Interpol,0.000010
25,Akima,0.000004
25,Spline,0.000007
25,Lagrange,0.000037
25,Newton,0.000023
25,GSL_Polym_Interpol,0.000010
25,Akima,0.000003
25,Spline,0.000007
25,Lagrange,0.000036
25,Newton,0.000022
